codigo;detalhe;ean;marca;link
3638;RECUPLAST FRENTES BLANCO x20 LITROS;7792952000285;Sinteplast;https://somosrex.com/recuplast-frentes-impermeabilizante-20l-sinteplast.html
3694;COBERTOR PLASTICO BLANCO RUCAR 3x3 (rex);7798075650024;Rucar;https://somosrex.com/cobertor-de-polipropileno-40-micrones-3-x-3-mt.html
4496;RODILLO SIMIL LANA 22cm BAMBIN;7798121121638;Bambin;https://somosrex.com/rodillo-lana-22cm-rodilan.html
5339;RODILLO LANA DORADO 22cm BAMBIN (lumar);7798121122444;Bambin;https://somosrex.com/rodillo-marron-22-cm-lumar.html
6022;PINCEL CELESTE V1 10;7798034445272;El Galgo;https://somosrex.com/pincel-chino-v1-n-10-el-galgo.html
6027;PINCEL VIROLA 1 CELESTE  Nº30 EL GALGO;7798034445364;El Galgo;https://somosrex.com/pincel-chino-v1-n-30-el-galgo.html
6193;ALBALATEX ULTRALAVABLE BLANCO x4 LITROS;7796374018712;Alba;https://somosrex.com/albalatex-ultralavable-interior-mate-blanco-04-lt.html
6195;LATEX INT. ALBALATEX ULTRAVABLE MATE BLANCO ALBA 20 LITROS;7796374018736;Alba;https://somosrex.com/latex-interior-albalatex-ultralavable-mate-blanco-20-lts-alba.html
6269;PASTILLAS MULTIACCION 200 NATACLOR x1KG  E;7791882001003;Nataclor E;https://somosrex.com/pastillas-cloro-multiaccion-200-gr-x-1-kg-nataclor.html
6270;KIT PILETA LONA PAS.250 + BOYA 50GRS  E;7791882000372;Nataclor E;https://somosrex.com/tratamiento-para-pileta-lona-sin-cloro-natabio-500-cc-nataclor.html
6554;ZOCALO EPS CURVES 80mm - 2.5mts.  BLANCO ATRIM;7798195142003;Atrim;
6568;REPARA PAREDES  ALABASTINE 330 gr;7891019915460;Alba;https://somosrex.com/alabastine-repara-paredes-330gr-alba.html
6571;REPARA PAREDES PRO ALABASTINE  600 cc;7891019915491;Alba;https://somosrex.com/alabastine-repara-paredes-pro-600-ml-alba.html
6572;REPARA PAREDES PRO ALABASTINE  2.5  LITROS;7891019915675;Alba;https://somosrex.com/alabastine-repara-paredes-pro-2-5-l-alba.html
6746;LIJA NO PAST INDASA 120;5603902000755;Flimpex;
6763;PINCEL VIROLA  AZUL EL GALGO Nro 10;7798184155366;El Galgo;
6764;PINCEL OBRA V1 ECONOMICO AZUL 15;7798184155373;El Galgo;https://somosrex.com/pincel-chino-v1-n-15-el-galgo.html
6765;PINCEL VIROLA AZUL EL GALGO Nro 20;7798184155380;El Galgo;https://somosrex.com/pincel-chino-v1-n-20-el-galgo.html
7168;CONSERVADORA HELATODO ROJA  28lts;7791082000363;Estrulam (Helatodo);
7185;SUPERCAPA VENIER BLANCA X 20 LITROS;7792261023869;Venier;https://somosrex.com/membrana-poliuretanica-supercapa-blanco-dessutol-20-kg.html
7188;SUPERCAPA VENIER R.CERAMICO X 20 LITROS;7792261023883;Venier;https://somosrex.com/membrana-poliuretanica-supercapa-rojo-dessutol-20-kg.html
8362;AEROSOL BS MAX BEIGE 440CC E;7792951011282;Sinteplast;
8417;HIDRO PERLADO BLANCO SINTEPLAST X1 LITROS;7792951030047;Sinteplast;https://somosrex.com/recuplast-hidroesmalte-epoxi-blanco-1-lts-sinteplast.html
8426;LATEX INTERIOR EVANS MATE BLANCO 20 LITROS;7797568012776;Andina;
8427;LATEX EVANS ANDINA EXTERIOR INTERIOR X20 LITROS;7797568012974;Andina;
8734;EQUIPO PARA PINTAR ADIABATIC EC 2000 C/TAZA ARRIBA;7798078723152;Adiabatic;https://somosrex.com/equipo-de-pintar-hvlp-adiabatic-ec2000-pistola-taza-gravedad.html
8736;REVESTIMIENTO ROMANICA FINO ATENAS VADEX 25 K;754697509093;Vadex;https://somosrex.com/revestimiento-texturado-vadex-romanica-fino-montevideo-25-kg-outlet.html
8739;REVESTIM. ROMANICA MEDIO BLANCO VADEX 25 K;754697503817;Vadex;https://somosrex.com/revestimiento-texturado-vadex-romanica-medio-blanco-pastel-25-kg.html
8743;REVESTIM. ROMANICA MEDIO LONDRES VADEX 25 K;754697503107;Vadex;https://somosrex.com/revestimiento-texturado-vadex-romanica-medio-londres-25k.html
8922;REVEAR REVOQUE PLAST. ILUSION ESMERALDA X25 S;7797743991957;Revear;https://somosrex.com/revestimiento-revoque-fino-flexible-blanco-revear-25-kg.html
8958;ENDUIDO INTERIOR ANDINA x 1 LITROS;7797568000094;Andina;https://somosrex.com/enduido-interior-andina-1-lt.html
8996;ENDUIDO INTERIOR ANDINA x 4 LITROS;7797568000100;Andina;https://somosrex.com/enduido-interior-andina-4-lt.html
9015;ENDUIDO INTERIOR ANDINA x10 LITROS;7797568000117;Andina;https://somosrex.com/enduido-interior-andina-10-lt.html
9016;ENDUIDO INTERIOR ANDINA x20 LITROS;7797568000124;Andina;https://somosrex.com/enduido-interior-andina-20-lt.html
9133;ALBALATEX DESIGN INTERIOR  MATE BLANCO ALBA 10 LITROS;7796374865354;Alba;https://somosrex.com/albalatex-pintura-latex-interior-mate-10-lt.html
9134;ALBALATEX DESIGN INTERIOR  MATE BLANCO ALBA 20 LITROS;7796374865361;Alba;https://somosrex.com/latex-interior-albalatex-mate-blanco-20-lts-alba.html
9185;REPOSERA SILLON BLANCA 5 POSICIONES 7/8 ALUM. ZACA;7796466302125;Tubogar;https://somosrex.com/silla-playa-plegable-reposera-botafogo-copacabana-azul-royal.html
9300;HIDROLAVADORA HL150 ELECTRICA LUSQTOFF;7798225220053;Lusqtoff;https://somosrex.com/hidrolavadora-alta-presion-135b-1500w-lhl150-lusqtoff.html
9421;LATEX INTERIOR ACRYLATEX MATE BLANCO COLORIN 20 LLITROS;7790715011134;Colorin;https://somosrex.com/latex-interior-acrylatex-20-lt.html
9515;ENDUIDO INTERIOR COMODIN 20 KG;7790715011837;Colorin;https://somosrex.com/enduido-plastico-para-interior-comodin-x-20-lts-colorin.html
9595;ENDUIDO INTERIOR EVANS 30 K;7797568002616;Andina;
9799;PAVA ELECTRICA PLÁSTICA SOLO MATE 2200W PE-4909;7790368031435;First Rate Ultracomb;
9809;YOGURTERA CON 12 FRASCOS DE VIDRIO ULTRACOMB;7790368293925;First Rate Ultracomb;https://somosrex.com/yogurtera-electrica-ultracomb-yg2712-12-jarros-de-vidrio-de-210-ml.html
9915;COLORIN REVOQUE PLASTICO CLASICO GRIS PLATA x 25 KG;7790715006185;Disal Revestimiento;
9950;REVESTIMIENTO TEXTURADO MEDIO MARF. A COLORIN 30 KG;7790715005867;Disal Revestimiento;
9953;REVESTIMIENTO TEXTURADO MEDIO BEIGE T COLORIN 30 KG;7790715005881;Disal Revestimiento;
10272;LIJADORA MULTIFUNCION AT2033 VEL.180RMP AMX;0;Airmax E;
10292;LATEX P/PISOS ANTIDES. MATE GRIS GRAFITO ALBA 4 LITROS;7796374866726;Alba;https://somosrex.com/pintura-para-pisos-acrilico-ceniza-alba-4-lt.html
