Codigo;EAN;Detalhe;Marca;Link consultado;Preço;Preço antigo;banco 1 nome;banco 1 parcelas;banco 1 preço;banco 2 nome;banco 2 parcelas;banco 2 preço;banco 3 nome;banco 3 parcelas;banco 3 preço
352;7792261021063;SIMIL MADERA VENIER NOGAL 750 CC;Venier;https://somosrex.com/simil-madera-nogal-venier-0-75-lt.html;$36.558;$45.697;Santander;3 cuotas s/int (total c/reintegro incluido);$31.988;Provincia;6 cuotas s/int (total c/reintegro incluido);$36.558;Galicia;6 cuotas s/int (total c/reintegro incluido);$36.558
476;7794004001134;LIJA AL AGUA  AA 1200 1170703 E;Doble A;https://somosrex.com/lija-al-agua-nro-1200-aa.html;$1.463;$1.829;Santander;3 cuotas s/int (total c/reintegro incluido);$1.280;Provincia;6 cuotas s/int (total c/reintegro incluido);$1.463;Galicia;6 cuotas s/int (total c/reintegro incluido);$1.463
636;7798075650178;FRATACHO LIJADOR MEDIANO;Rucar;https://somosrex.com/fratacho-lijador-mediano-20-x-12-cm.html;$3.996;$4.995;Santander;3 cuotas s/int (total c/reintegro incluido);$3.496;Provincia;6 cuotas s/int (total c/reintegro incluido);$3.996;Galicia;6 cuotas s/int (total c/reintegro incluido);$3.996
869;7790817540365;CINTA RAPIFIX 540 USO GRAL 540  36mm 50mts;Rapifix;https://somosrex.com/cinta-automotor-blanca-rapifix-36mmx50mts.html;$5.402;$7.480;Santander;3 cuotas s/int (total c/reintegro incluido);$4.727;Provincia;6 cuotas s/int (total c/reintegro incluido);$5.402;Galicia;6 cuotas s/int (total c/reintegro incluido);$5.402
1193;7792833847077;ALBAFRENT EXTERIOR x20 LITROS;Alba;https://somosrex.com/albafrent-acrilico-pintura-latex-exterior-blanco-20lts.html;$117.000;$156.000;Santander;3 cuotas s/int (total c/reintegro incluido);$102.375;Provincia;6 cuotas s/int (total c/reintegro incluido);$117.000;Galicia;6 cuotas s/int (total c/reintegro incluido);$117.000
1340;7792261022718;PINTURA PILETA DE PLASTICO VENIER x  4 LITROS;Venier;https://somosrex.com/pintura-para-piletas-de-plastico-venier-x-4-litros.html;$51.399;$79.075;Santander;3 cuotas s/int (total c/reintegro incluido);$44.974;Provincia;6 cuotas s/int (total c/reintegro incluido);$51.399;Galicia;6 cuotas s/int (total c/reintegro incluido);$51.399
1714;7798005019204;RODILLO MAGIC CERO GOTA 23 Cms LESTERS;Lesters;https://somosrex.com/rodillo-antigota-ultra-rapido-23-cm-magic.html;$8.317;$10.396;Santander;3 cuotas s/int (total c/reintegro incluido);$7.277;Provincia;6 cuotas s/int (total c/reintegro incluido);$8.317;Galicia;6 cuotas s/int (total c/reintegro incluido);$8.317
1733;7797568000025;FIJADOR SELLADOR ANDINA x 4 LITROS;Andina;https://somosrex.com/sellador-fijador-al-agua-para-paredes-x-4-lts-andina.html;$11.119;$14.826;Santander;3 cuotas s/int (total c/reintegro incluido);$9.729;Provincia;6 cuotas s/int (total c/reintegro incluido);$11.119;Galicia;6 cuotas s/int (total c/reintegro incluido);$11.119
2112;7792833819432;PINTURA PILETAS AL AGUA CELESTE ALBA x10 LITROS;Alba;https://somosrex.com/pintura-piletas-base-acuosa-celeste-alba-10-lts.html;$107.300;$143.066;Santander;3 cuotas s/int (total c/reintegro incluido);$93.887;Provincia;6 cuotas s/int (total c/reintegro incluido);$107.300;Galicia;6 cuotas s/int (total c/reintegro incluido);$107.300
2170;7792833818930;DURALBA IMPERMEABLE FRENTES Y MUROS MATE BLANCO 20 LITROS;Alba;https://somosrex.com/latex-exterior-duralba-mate-blanco-20-lts-alba.html;$148.900;$198.533;Santander;3 cuotas s/int (total c/reintegro incluido);$130.287;Provincia;6 cuotas s/int (total c/reintegro incluido);$148.900;Galicia;6 cuotas s/int (total c/reintegro incluido);$148.900
